id_client,nom,email,telephone,quartier,ville,region
1,Aina Rakoto,aina1@gmail.com,0325614226,,Antananarivo,Analamanga
2,Hery Andria,hery2@gmail.com,0324335942,Ankadifot sy,Antananarivo,Analamanga
3,Soa Rabe,  soa3@gmail.com ,03266,antanimena,Antananarivo,Analamanga
4,  Tojo Ravelona ,tojo4@gmail.com,0347067228,ANTANIMENA,Antananarivo,Analamanga
5,Manda Randria,manda5@gmail.cm,0332197935,Tsaralalana,Antananarivo,Analamanga
6,Fara Rasolofo,fara6@gmail.com,0324842788,ANTANIMENA,Fianarantsoa,Haute Matsiatra
7,Noro Rasoa,noro7@gmail.com,0333396987,Ankadifot sy,Toamasina,Atsinanana
8,Lala Andriantsoa,lala8@gmail.com,03228,67 Ha,Toamasina,Atsinanana
9,Dina Rakotondrabe,dina9@gmail.com,0325476583,  67Ha ,Fianarantsoa,Haute Matsiatra
10,Koto Ratsimbazafy,koto10@gmail.com,,isotry,Toamasina,
11,Rina Razafimandimby,rina11@gmail.com,03350,  ANTANIMENA ,Toliara,Atsimo-Andrefana
12,Bako Rakotonirina,  bako12@gmail.com ,0348099076,Ampefiloha,Toliara,Atsimo-Andrefana
13,VOLA ANDRIAMASINORO,vola13gmail.com,0324860684,  Antanimena ,Antananarivo,Analamanga
14,Tahina Rasoamanarivo,tahina14@gmail.com,0348930103,  67 Ha ,Mahajanga,Boeny
15,Zo Randriamahefa,zo15@gmail.com,0322016911,  67Ha ,Fianarantsoa,Haute Matsiatra
16,Mija Rakotoarisoa,mija16@gmail.com,03426,Analakely,Toliara,Atsimo-Andrefana
17,Hasina Andriantsilavo,hasina17gmail.com,0331036161,Amboh ipo,Fianarantsoa,Haute Matsiatra
18,Nirina Rabemananjara,nirina18@gmail.cm,0322022698,Isotry,Antananarivo,Analamanga
19,Lova Razafindrakoto,lova19@gmail.com,0344946066,  Ankadifotsy ,Toliara,Atsimo-Andrefana
20,Tsiry Randrianarisoa,  tsiry20@gmail.com ,0326033115,Analakely,Antananarivo,Analamanga
5,Manda Randria,manda5@gmail.com,0341234567,Analakely,Antananarivo,Analamanga
